"","MP_Start","MP_End","Section_Length","AADT","Total_Crashes","Fatal_Crashes","Injury_Crashes","Prop_Dam_Only_Crashes","Crash_Rate","County","Cross_Section","LATITUDE","LONGTUDE","Lanes","Shoulder","Median","route"
"582",46.6,46.8,0.11,31997,1,0,0,1,0.78,"BURLINGTON","4 or More Lanes, Barrier Median With Shoulder",40.0736775991,-74.8486348755,"4","With","Barrier","US 130"
"583",46.8,47.4,0.62,31997,17,0,5,12,2.34,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.0757603766,-74.8462083407,"4","With","Grass","US 130"
"584",47.4,47.5,0.17,25951,4,0,0,4,2.48,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.0822450332,-74.8388618692,"4","With","Grass","US 130"
"585",47.5,47.9,0.32,25951,2,0,1,1,0.66,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.0832586479,-74.8375129113,"4","With","Grass","US 130"
"586",47.9,49.2,1.34,25951,21,0,7,14,1.65,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.0861324143,-74.8310062647,"4","With","Grass","US 130"
"587",49.2,50.3,1.09,25951,26,0,5,21,2.51,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.0952920174,-74.8095562733,"4","With","Grass","US 130"
"588",50.3,51.6,1.32,24775,39,0,18,21,3.26,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1029803991,-74.7915001435,"4","With","Grass","US 130"
"589",51.6,52,0.38,24775,1,0,1,0,0.29,"WARREN","4 or More Lanes, Grass Median With Shoulder",40.1122541726,-74.7700473686,"4","With","Grass","US 130"
"590",52,53.5,1.48,28649,12,0,2,10,0.77,"WARREN","4 or More Lanes, Grass Median With Shoulder",40.1146725171,-74.7632208254,"4","With","Grass","US 130"
"591",53.5,54,0.52,28649,9,0,2,7,1.65,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1259568325,-74.7388193329,"4","With","Grass","US 130"
"592",54,54.2,0.22,29880,0,0,0,0,0,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1293256018,-74.7307725866,"4","With","Grass","US 130"
"593",54.2,55.2,0.98,29880,13,0,3,10,1.21,"BURLINGTON","4 or More Lanes, Barrier Median With Shoulder",40.130661866,-74.7273802093,"4","With","Barrier","US 130"
"594",55.2,55.3,0.1,29880,1,0,1,0,0.91,"BURLINGTON","4 or More Lanes, Barrier Median With Shoulder",40.1374593791,-74.7108663571,"4","With","Barrier","US 130"
"595",55.3,55.5,0.16,13299,8,0,1,7,10.27,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1382752929,-74.709275512,"4","With","Grass","US 130"
"596",55.5,55.6,0.11,13299,12,0,2,10,22.41,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1399552603,-74.7061277901,"4","With","Grass","US 130"
"597",55.6,55.7,0.13,13299,1,0,0,1,1.58,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1407991213,-74.7045873107,"4","With","Grass","US 130"
"598",55.7,55.8,0.05,13299,2,0,0,2,8.22,"BURLINGTON","4 or More Lanes, Barrier Median With Shoulder",40.1417489433,-74.7031589766,"4","With","Barrier","US 130"
"599",55.8,55.9,0.16,13299,3,0,0,3,3.85,"BURLINGTON","4 or More Lanes, Barrier Median Without Shoulder",40.143033262,-74.7023912045,"4","Without","Barrier","US 130"
"600",55.9,55.9,0.02,13299,1,0,0,1,10.27,"BURLINGTON","4 or More Lanes, Barrier Median Without Shoulder",40.1443978181,-74.7019285739,"4","Without","Barrier","US 130"
"601",55.9,56,0.02,13299,0,0,0,0,0,"BURLINGTON","4 or More Lanes, Barrier Median Without Shoulder",40.1443978181,-74.7019285739,"4","Without","Barrier","US 130"
"602",56,56.1,0.15,13299,2,0,0,2,2.74,"BURLINGTON","4 or More Lanes, Grass Median Without Shoulder",40.1458178831,-74.701518832,"4","Without","Grass","US 130"
"603",56.1,56.3,0.2,13299,0,0,0,0,0,"BURLINGTON","4 or More Lanes, Barrier Median Without Shoulder",40.1472347007,-74.7011191396,"4","Without","Barrier","US 130"
"604",56.3,56.3,0.02,13299,1,0,0,1,10.27,"BURLINGTON","4 or More Lanes, Barrier Median Without Shoulder",40.1499491282,-74.7002616628,"4","Without","Barrier","US 130"
"605",56.3,56.4,0.09,13299,0,0,0,0,0,"BURLINGTON","4 or More Lanes, Grass Median Without Shoulder",40.1499491282,-74.7002616628,"4","Without","Grass","US 130"
"606",56.4,57,0.54,13299,5,0,2,3,1.9,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1507559752,-74.6998929645,"4","With","Grass","US 130"
"607",57,57,0.05,13299,0,0,0,0,0,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1585614171,-74.6944136432,"4","With","Grass","US 130"
"608",57,57.5,0.46,12991,3,0,2,1,1.37,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1585614171,-74.6944136432,"4","With","Grass","US 130"
"609",57.5,58.3,0.82,24778,5,0,1,4,0.67,"BURLINGTON","4 or More Lanes, Grass Median With Shoulder",40.1652675036,-74.6890567071,"4","With","Grass","US 130"
"610",58.3,58.7,0.42,24778,0,0,0,0,0,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.1736913312,-74.6794104976,"4","With","Grass","US 130"
"611",58.7,59.2,0.46,25652,1,0,0,1,0.23,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.1763542033,-74.6722717216,"4","With","Grass","US 130"
"612",59.2,59.2,0.04,28396,0,0,0,0,0,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.180285096,-74.6644757112,"4","With","Grass","US 130"
"613",59.2,59.6,0.4,28396,2,0,0,2,0.48,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.180285096,-74.6644757112,"4","With","Grass","US 130"
"614",59.6,59.8,0.2,28396,0,0,0,0,0,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.1844863891,-74.6594039011,"4","With","Grass","US 130"
"615",59.8,60.5,0.7,28396,15,0,4,11,2.06,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.1864872498,-74.6566357592,"4","With","Grass","US 130"
"616",60.5,60.7,0.2,28396,6,0,2,4,2.89,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.1928695937,-74.6462483499,"4","With","Grass","US 130"
"617",60.7,60.7,0.01,28396,0,0,0,0,0,"MERCER","4 or More Lanes, Grass Median Without Shoulder",40.1944064869,-74.6439275539,"4","Without","Grass","US 130"
"618",60.7,61,0.29,31363,1,0,1,0,0.3,"MERCER","4 or More Lanes, Grass Median Without Shoulder",40.1944064869,-74.6439275539,"4","Without","Grass","US 130"
"619",61,61,0.03,31363,3,0,1,2,8.71,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.1970128091,-74.6408309494,"4","With","Grass","US 130"
"620",61,61.2,0.17,31363,0,0,0,0,0,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.1970128091,-74.6408309494,"4","With","Grass","US 130"
"621",61.2,62,0.76,31363,6,0,2,4,0.69,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.1999143156,-74.6377936066,"4","With","Grass","US 130"
"622",62,62.2,0.24,31363,4,0,2,2,1.45,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2091088,-74.6281627854,"4","With","Grass","US 130"
"623",62.2,62.3,0.13,31363,0,0,0,0,0,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2112175901,-74.6256899482,"4","With","Grass","US 130"
"624",62.3,62.5,0.16,31586,3,0,0,3,1.62,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2123801003,-74.6243081416,"4","With","Grass","US 130"
"625",62.5,62.7,0.21,31586,10,0,2,8,4.12,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2147634286,-74.6217069317,"4","With","Grass","US 130"
"626",62.7,63.2,0.5,31586,2,0,0,2,0.35,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2167462555,-74.6191378234,"4","With","Grass","US 130"
"627",63.2,65.6,2.4,31586,38,1,11,26,1.37,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2218718002,-74.6123974343,"4","With","Grass","US 130"
"628",65.6,65.7,0.12,30334,1,0,0,1,0.75,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2421344926,-74.5755472801,"4","With","Grass","US 130"
"629",65.7,66.5,0.81,30334,15,1,2,12,1.67,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2431094239,-74.5741521832,"4","With","Grass","US 130"
"630",66.5,66.8,0.27,30334,8,0,2,6,2.67,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2509943553,-74.5629935833,"4","With","Grass","US 130"
"631",66.8,66.9,0.13,29822,2,0,1,1,1.41,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.253209946,-74.5581751777,"4","With","Grass","US 130"
"632",66.9,67.2,0.29,29822,2,0,0,2,0.63,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2539165286,-74.5565627538,"4","With","Grass","US 130"
"633",67.2,67.5,0.28,29822,7,0,4,3,2.29,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2562432611,-74.5519282697,"4","With","Grass","US 130"
"634",67.5,67.7,0.2,29822,11,0,2,9,5.04,"MERCER","4 or More Lanes, Grass Median Without Shoulder",40.2597928457,-74.5485475917,"4","Without","Grass","US 130"
"635",67.7,67.8,0.09,29822,2,0,0,2,2.04,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2625372482,-74.5473332174,"4","With","Grass","US 130"
"636",67.8,67.9,0.15,29822,1,0,0,1,0.61,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2638475025,-74.546516051,"4","With","Grass","US 130"
"637",67.9,68.1,0.16,28846,0,0,0,0,0,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2650846333,-74.5455462106,"4","With","Grass","US 130"
"638",68.1,68.4,0.26,27055,5,0,0,5,1.94,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2674329579,-74.543319736,"4","With","Grass","US 130"
"639",68.4,69,0.59,27055,14,0,5,9,2.4,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2709364305,-74.5399516379,"4","With","Grass","US 130"
"640",69,69,0.01,27671,0,0,0,0,0,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.277920875,-74.5333966523,"4","With","Grass","US 130"
"641",69,69.1,0.11,28110,8,0,2,6,7.07,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.277920875,-74.5333966523,"4","With","Grass","US 130"
"642",69.1,69.6,0.53,27678,2,0,1,1,0.37,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2790833425,-74.5323159287,"4","With","Grass","US 130"
"643",69.6,70,0.44,14788,6,0,0,6,2.52,"MERCER","4 or More Lanes, Grass Median With Shoulder",40.2850503138,-74.5267707511,"4","With","Grass","US 130"
"644",70,70.3,0.26,14788,4,0,2,2,2.84,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.2898455391,-74.5222437136,"4","With","Grass","US 130"
"645",70.3,70.6,0.3,14788,3,0,1,2,1.85,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.293397678,-74.5189981817,"4","With","Grass","US 130"
"646",70.6,71.6,1,18427,20,0,4,16,2.97,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.2968635824,-74.5157659052,"4","With","Grass","US 130"
"647",71.6,72.8,1.2,31985,43,0,11,32,3.06,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.3103932077,-74.5097602955,"4","With","Grass","US 130"
"648",71.6,73.5,1.9,31985,53,0,16,37,2.38,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.3103932077,-74.5097602955,"4","With","Grass","US 130"
"649",72.8,73.5,0.7,31985,10,0,5,5,1.22,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.327593934,-74.5063961246,"4","With","Grass","US 130"
"650",73.5,73.6,0.1,13558,5,0,1,4,10.08,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.3372036626,-74.502586334,"4","With","Grass","US 130"
"651",73.5,74.2,0.69,13558,12,0,4,8,3.5,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.3372036626,-74.502586334,"4","With","Grass","US 130"
"652",73.6,74.2,0.59,13558,7,0,3,4,2.39,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.3385957662,-74.5018841315,"4","With","Grass","US 130"
"653",74.2,75.4,1.21,0,38,0,10,28,0,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.3466070816,-74.4980099164,"4","With","Grass","US 130"
"654",75.4,75.4,0.05,0,1,0,0,1,0,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.3635407892,-74.4973188385,"4","With","Barrier","US 130"
"655",75.4,75.8,0.36,15484,3,1,0,2,1.47,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.3635407892,-74.4973188385,"4","With","Barrier","US 130"
"656",75.8,78.4,2.62,15484,69,0,14,55,4.65,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.3690880424,-74.4994785862,"4","With","Grass","US 130"
"657",78.4,79.2,0.72,0,7,0,1,6,0,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.4060718577,-74.5077936241,"4","With","Grass","US 130"
"658",79.2,79.8,0.68,0,30,0,2,28,0,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.4166372202,-74.5016583623,"4","With","Grass","US 130"
"659",79.8,80.9,1.09,20607,49,2,5,42,5.96,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.4241241239,-74.4962671304,"4","With","Grass","US 130"
"660",80.9,81.1,0.18,41052,1,0,0,1,0.37,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.4367994414,-74.4834318079,"4","With","Grass","US 130"
"661",81.1,81.4,0.29,20445,30,0,7,23,13.82,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.4385658313,-74.4805692225,"4","With","Grass","US 130"
"662",81.4,81.7,0.31,20445,11,0,4,7,4.74,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.4416620697,-74.4749570893,"4","With","Grass","US 130"
"663",81.7,82.7,1.04,20445,20,0,2,18,2.57,"MIDDLESEX","4 or More Lanes, Grass Median With Shoulder",40.4434764509,-74.4713015145,"4","With","Grass","US 130"
"664",82.7,82.8,0.02,20445,1,0,0,1,6.68,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.4536034177,-74.4580631304,"4","With","Barrier","US 130"
"665",82.8,82.9,0.14,22766,5,0,1,4,4.29,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.4549269748,-74.4573797865,"4","With","Barrier","US 130"
"666",82.9,82.9,0.02,22766,0,0,0,0,0,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.4562786025,-74.4565485146,"4","With","Barrier","US 130"
"667",82.9,83.1,0.18,36091,2,0,0,2,0.84,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.4562786025,-74.4565485146,"4","With","Barrier","US 130"
"668",83.1,83.2,0.1,36091,0,0,0,0,0,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.4592605746,-74.4549660541,"4","With","Barrier","US 130"
"669",83.2,83.4,0.17,36091,9,0,2,7,4.01,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.4605205135,-74.4545658882,"4","With","Barrier","US 130"
"670",83.4,83.5,0.09,0,11,0,4,7,0,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.4630339105,-74.4552599669,"4","With","Barrier","US 130"
"671",0,0.6,0,0,107,0,17,90,0,NA,NA,40.9300737074,-75.0969740414,NA,NA,NA,"US 46"
"672",1.2,1.2,0.63,52607,28,0,7,21,2.31,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.9166284169,-75.0811879369,"4","With","Barrier","US 46"
"673",1.2,1.6,0.42,60614,46,1,10,35,4.94,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.9166284169,-75.0811879369,"4","With","Barrier","US 46"
"674",1.6,1.7,0.05,60614,3,0,1,2,2.7,"MERCER","4 or More Lanes, Barrier Median Without Shoulder",40.9120191957,-75.0768366291,"4","Without","Barrier","US 46"
"675",1.7,1.8,0.05,50249,0,0,0,0,0,"MERCER","4 or More Lanes, Barrier Median Without Shoulder",40.9106497605,-75.0762565743,"4","Without","Barrier","US 46"
"676",1.8,2.5,0.75,50249,14,0,1,13,1.01,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.9092687517,-75.0757176517,"4","With","Barrier","US 46"
"677",2.5,3.2,0.7,39440,7,0,0,7,0.69,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.8994317608,-75.0729984276,"4","With","Barrier","US 46"
"678",3.2,3.5,0.29,39440,3,0,2,1,0.72,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.8915491942,-75.065289836,"4","With","Barrier","US 46"
"679",3.5,3.9,0.36,33478,37,0,4,33,8.39,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.8878023502,-75.0624804774,"4","With","Barrier","US 46"
"680",3.9,4.4,0.55,33478,5,0,2,3,0.74,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.8827446086,-75.0586473432,"4","With","Barrier","US 46"
"681",4.4,5.5,1.07,40028,39,0,16,23,2.49,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.8766871706,-75.05344478,"4","With","Barrier","US 46"
"682",5.5,5.7,0.21,40028,0,0,0,0,0,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.8624294609,-75.0482525336,"4","With","Barrier","US 46"
"683",5.7,5.7,0.02,40028,0,0,0,0,0,"MERCER","4 or More Lanes, Barrier Median Without Shoulder",40.8599295169,-75.0500963401,"4","Without","Barrier","US 46"
"684",5.7,6,0.26,68687,12,0,2,10,1.84,"MERCER","4 or More Lanes, Barrier Median Without Shoulder",40.8599295169,-75.0500963401,"4","Without","Barrier","US 46"
"685",6,7,1,68687,39,0,8,31,1.55,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.856611067,-75.0536764681,"4","With","Barrier","US 46"
"686",7,7,0.05,68687,2,0,2,0,1.59,"MERCER","4 or More Lanes, Barrier Median Without Shoulder",40.8438254112,-75.0547126873,"4","Without","Barrier","US 46"
"687",7,7.6,0.54,68687,8,0,3,5,0.59,"MERCER","4 or More Lanes, Barrier Median Without Shoulder",40.8438254112,-75.0547126873,"4","Without","Barrier","US 46"
"688",7.6,7.8,0.25,68687,22,0,6,16,3.5,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.8400203566,-75.0445752054,"4","With","Barrier","US 46"
"689",7.8,8,0.23,81140,6,0,1,5,0.88,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.839816548,-75.0408040427,"4","With","Barrier","US 46"
"690",8,10.9,2.91,81140,140,1,34,105,1.62,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.8402109889,-75.0370693,"4","With","Barrier","US 46"
"691",10.9,11.1,0.12,76010,5,0,4,1,1.5,"MERCER","4 or More Lanes, Barrier Median With Shoulder",40.8344753475,-74.9852629322,"4","With","Barrier","US 46"
"692",11.1,11.5,0.41,76010,88,1,20,67,7.72,"MERCER","4 or More Lanes, Barrier Median Without Shoulder",40.8331424761,-74.9820462305,"4","Without","Barrier","US 46"
"693",11.5,12,0.49,74908,31,0,7,24,2.31,"MERCER","4 or More Lanes, Barrier Median Without Shoulder",40.8300107402,-74.9751909896,"4","Without","Barrier","US 46"
"694",12,12.1,0.11,74908,1,0,0,1,0.33,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.831291659,-74.9656918914,"4","Without","Barrier","US 46"
"695",12.1,12.2,0.13,74908,9,0,2,7,2.53,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8315279801,-74.9647015472,"4","With","Barrier","US 46"
"696",12.2,12.9,0.7,68914,10,0,1,9,0.57,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8320107398,-74.9629160149,"4","With","Barrier","US 46"
"697",12.9,13.5,0.6,58721,3,0,1,2,0.23,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8384765891,-74.9529189044,"4","With","Barrier","US 46"
"698",13.5,14,0.5,58721,6,0,0,6,0.56,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8453348544,-74.9466863461,"4","With","Barrier","US 46"
"699",14,14.1,0.06,51275,0,0,0,0,0,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8492103671,-74.9391745416,"4","With","Barrier","US 46"
"700",14.1,14.1,0.06,51275,4,0,2,2,3.55,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8503686155,-74.9380261614,"4","With","Barrier","US 46"
"701",14.1,14.6,0.45,51275,33,0,7,26,3.91,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8503686155,-74.9380261614,"4","With","Barrier","US 46"
"702",14.6,15.8,1.27,51275,37,0,12,25,1.55,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8541305087,-74.9299887566,"4","With","Barrier","US 46"
"703",15.8,15.8,0.01,51275,4,0,2,2,21.31,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8682324889,-74.9175021011,"4","With","Barrier","US 46"
"704",15.8,15.8,0,51275,0,0,0,0,0,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8682324889,-74.9175021011,"4","With","Barrier","US 46"
"705",15.8,16.5,0.62,53600,27,0,10,17,2.22,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8682324889,-74.9175021011,"4","With","Barrier","US 46"
"706",16.5,16.6,0.14,53600,40,0,10,30,14.56,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8747670793,-74.9078986243,"4","With","Barrier","US 46"
"707",16.6,16.8,0.18,53600,4,0,1,3,1.13,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8754652123,-74.906191772,"4","With","Barrier","US 46"
"708",16.8,17.1,0.3,53600,14,0,0,14,2.38,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8744436953,-74.9027301988,"4","With","Barrier","US 46"
"709",17.1,17.2,0.07,53600,2,0,0,2,1.46,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.8721391406,-74.8980204059,"4","Without","Barrier","US 46"
"710",17.2,17.5,0.3,53600,6,0,3,3,1.02,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8713139277,-74.8963684442,"4","With","Barrier","US 46"
"711",17.5,18,0.54,53600,48,1,9,38,4.53,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8694887657,-74.891309407,"4","With","Barrier","US 46"
"712",18,20.1,2.1,54768,114,1,25,88,2.71,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8677951992,-74.8822904154,"4","With","Barrier","US 46"
"713",20.1,20.5,0.42,62446,15,0,4,11,1.56,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8582900262,-74.8490952112,"4","With","Barrier","US 46"
"714",20.1,20.7,0.63,62446,38,0,14,24,2.64,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8582900262,-74.8490952112,"4","With","Barrier","US 46"
"715",20.5,21,0.5,62446,56,0,18,38,4.9,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8592358956,-74.8417963677,"4","With","Barrier","US 46"
"716",20.7,21,0.29,62446,33,0,8,25,4.98,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8580118566,-74.838159651,"4","With","Barrier","US 46"
"717",21,21.9,0.92,62446,59,0,18,41,2.81,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8556802765,-74.833458624,"4","With","Barrier","US 46"
"718",21.9,22.2,0.31,62446,23,0,7,16,3.25,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.8483424606,-74.8202984314,"4","Without","Barrier","US 46"
"719",22.2,22.5,0.25,62446,44,0,6,38,7.7,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.846470608,-74.8150251614,"4","With","Barrier","US 46"
"720",22.5,22.8,0.3,73309,5,0,2,3,0.62,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8439020492,-74.8096600314,"4","With","Barrier","US 46"
"721",22.8,23,0.2,73309,22,0,4,18,4.1,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.8426564386,-74.8052795645,"4","Without","Barrier","US 46"
"722",23,23.1,0.1,73968,9,0,3,6,3.32,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.8445138457,-74.8026439847,"4","Without","Barrier","US 46"
"723",23.1,23.9,0.8,73968,21,0,6,15,0.97,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8459349599,-74.8024376999,"4","With","Barrier","US 46"
"724",23.9,24.9,1.03,86897,25,1,5,19,0.76,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8551675571,-74.795110056,"4","With","Barrier","US 46"
"725",24.9,25.8,0.82,105118,37,0,10,27,1.17,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8542746388,-74.7782561197,"4","With","Barrier","US 46"
"726",25.8,26.4,0.67,112487,16,0,3,13,0.58,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8590450673,-74.7621541301,"4","With","Barrier","US 46"
"727",26.4,26.6,0.19,112487,30,0,4,26,3.84,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8621463795,-74.7516305646,"4","With","Barrier","US 46"
"728",26.6,26.6,0.03,112487,0,0,0,0,0,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8636174058,-74.7480886079,"4","With","Barrier","US 46"
"729",26.6,27.2,0.55,106227,3,0,2,1,0.14,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8636174058,-74.7480886079,"4","With","Barrier","US 46"
"730",27.2,27.9,0.71,106227,38,1,10,27,1.38,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8686528778,-74.7387401391,"4","With","Barrier","US 46"
"731",27.9,28.4,0.53,97161,37,0,8,29,1.96,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8767817873,-74.7325572229,"4","With","Barrier","US 46"
"732",28.4,28.5,0.06,97161,5,0,1,4,2.34,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.8837344139,-74.7300289413,"4","Without","Barrier","US 46"
"733",28.5,29.3,0.81,87735,109,0,23,86,4.19,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.884570518,-74.7285240022,"4","Without","Barrier","US 46"
"734",29.3,29.4,0.08,77753,4,0,0,4,1.76,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.8919244383,-74.7168350197,"4","Without","Barrier","US 46"
"735",29.4,30.3,0.92,72046,182,0,54,128,7.5,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.8925642077,-74.7151257278,"4","Without","Barrier","US 46"
"736",30.3,30.9,0.58,62927,4,0,2,2,0.3,"MIDDLESEX","4 or More Lanes, Barrier Median Without Shoulder",40.8970485094,-74.700172855,"4","Without","Barrier","US 46"
"737",30.9,31.2,0.37,62927,42,0,6,36,4.93,"MIDDLESEX","4 or More Lanes, Barrier Median With Shoulder",40.8932472548,-74.6902302231,"4","With","Barrier","US 46"
